x,y,density,u-vel,v-vel,pressure,temperature,a,e
2.6475,0.271692,0.000859181,949.223,0.0134413,77.587,314.646,355.563,225759
2.6625,0.271692,0.000859064,949.242,0.0125117,77.5723,314.629,355.553,225747
2.6775,0.271692,0.000858954,949.259,0.0116382,77.5584,314.613,355.544,225735
2.6925,0.271692,0.000858848,949.275,0.0108156,77.545,314.598,355.535,225724
2.7075,0.271692,0.000858748,949.291,0.0100386,77.5324,314.583,355.527,225713
2.7225,0.271692,0.000858652,949.305,0.00930075,77.5203,314.569,355.519,225703
2.7375,0.271692,0.000858561,949.319,0.00859136,77.5088,314.556,355.512,225694
2.7525,0.271692,0.000858475,949.333,0.00788944,77.4979,314.543,355.504,225685
2.7675,0.271692,0.000858394,949.345,0.00714777,77.4876,314.531,355.498,225676
2.7825,0.271692,0.000858319,949.357,0.00625571,77.4781,314.52,355.491,225668
2.7975,0.271692,0.000858253,949.367,0.00495256,77.4698,314.511,355.486,225661
2.8125,0.271692,0.000858206,949.375,0.00262947,77.4639,314.504,355.482,225656
2.8275,0.271692,0.000858197,949.376,-0.0021163,77.4627,314.502,355.481,225655
2.8425,0.271692,0.000858272,949.365,-0.0124938,77.4721,314.513,355.487,225663
2.8575,0.271692,0.000858536,949.327,-0.0357055,77.5051,314.55,355.508,225690
2.8725,0.271692,0.000859223,949.227,-0.0876568,77.5911,314.647,355.563,225759
2.8875,0.271692,0.000860851,948.99,-0.202869,77.795,314.877,355.693,225925
2.9025,0.271692,0.00086454,948.454,-0.454233,78.2576,315.399,355.988,226298
2.9175,0.271692,0.00087265,947.276,-0.988145,79.2786,316.544,356.633,227120
2.9325,0.271692,0.00088994,944.763,-2.07022,81.4726,318.984,358.005,228871
2.9475,0.271692,0.000925192,939.63,-4.08219,86.0199,323.955,360.784,232438
2.9625,0.271692,0.000992152,929.859,-7.28507,94.9237,333.361,365.984,239186
2.9775,0.271692,0.00110672,913.246,-11.2317,110.906,349.169,374.561,250528
2.9925,0.271692,0.00127867,888.945,-14.5144,136.466,371.865,386.543,266813
0.0075,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.0225,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.0375,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.0525,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.0675,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.0825,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.0975,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.1125,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.1275,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.1425,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.1575,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.1725,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.1875,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.2025,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.2175,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.2325,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.2475,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.2625,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.2775,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.2925,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.3075,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.3225,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.3375,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.3525,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.3675,0.01125,0.000977525,1000,0,75.95,270.719,329.81,194241
0.3825,0.01125,0.000977525,1000,-3.91784e-14,75.95,270.719,329.81,194241
0.3975,0.01125,0.000977525,1000,-5.14717e-14,75.95,270.719,329.81,194241
0.4125,0.01125,0.000977525,1000,8.38499e-15,75.95,270.719,329.81,194241
0.4275,0.01125,0.000977525,1000,2.91468e-14,75.95,270.719,329.81,194241
0.4425,0.01125,0.000977525,1000,5.90111e-14,75.95,270.719,329.81,194241
